analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,5,Processing speed,ridge,71,13.941933570596543,11.169730074473197,-0.06147745595996845
repeat,6,Processing speed,mean_baseline,71,13.981191668149156,11.505297133679269,-0.06746374980209668
repeat,6,Processing speed,ridge,71,15.550211592932206,12.4877782278423,-0.3204968283612857
repeat,7,Processing speed,mean_baseline,71,13.73686941013005,11.32689823149423,-0.030481729084107734
repeat,7,Processing speed,ridge,71,13.999443939777816,11.579080275928234,-0.07025269034471959
repeat,8,Processing speed,mean_baseline,71,13.61342729644653,11.19356886935649,-0.01204473364517833
repeat,8,Processing speed,ridge,71,13.668074978650676,11.021689638243735,-0.020186240348690765
repeat,9,Processing speed,mean_baseline,71,13.645384811893717,11.12448815701225,-0.016801860036765648
repeat,9,Processing speed,ridge,71,13.435343215615562,10.973381688481783,0.014260210560784303
repeat,10,Processing speed,mean_baseline,71,13.651600176105383,11.22019838328215,-0.01772836130972899
repeat,10,Processing speed,ridge,71,13.968603504175586,11.4434758224303,-0.0655424029303131
repeat,11,Processing speed,mean_baseline,71,13.658922280778741,11.207864732253167,-0.01882038157550525
repeat,11,Processing speed,ridge,71,13.417949916020426,10.84937415095867,0.016810821905062
repeat,12,Processing speed,mean_baseline,71,13.70023243941097,11.26984935931378,-0.024992358515764312
repeat,12,Processing speed,ridge,71,13.998648020741678,11.294411842661859,-0.07013099832917247
repeat,13,Processing speed,mean_baseline,71,13.704035361069987,11.320855836775037,-0.02556147391698138
repeat,13,Processing speed,ridge,71,14.15803271095854,11.347576445074166,-0.0946381487122081
repeat,14,Processing speed,mean_baseline,71,13.65655439585959,11.257625136785624,-0.018467170647375797
repeat,14,Processing speed,ridge,71,14.181339911950062,11.4753148756675,-0.09824514013532437
repeat,15,Processing speed,mean_baseline,71,13.984610396829764,11.449730841187474,-0.06798585338262986
repeat,15,Processing speed,ridge,71,13.991484460526221,11.299569901112104,-0.06903603739050501
repeat,16,Processing speed,mean_baseline,71,13.540049416417943,11.090617388541778,-0.00116407059794299
repeat,16,Processing speed,ridge,71,13.07095799299956,10.808825847185176,0.06700440231753024
repeat,17,Processing speed,mean_baseline,71,13.991750570365836,11.438252320943201,-0.06907670265580745
repeat,17,Processing speed,ridge,71,13.934770920936657,11.263110805986681,-0.0603870708871701
repeat,18,Processing speed,mean_baseline,71,13.932478851172345,11.36567210279219,-0.06003826267671486
repeat,18,Processing speed,ridge,71,16.27656702500546,12.267850124216036,-0.44673963135269634
repeat,19,Processing speed,mean_baseline,71,13.663103750723442,11.243952751597305,-0.0194442695821051
repeat,19,Processing speed,ridge,71,13.37331248821503,10.957422142197965,0.023341482227608013
repeat,20,Processing speed,mean_baseline,71,13.609849560374073,11.178165484132867,-0.011512853894722674
repeat,20,Processing speed,ridge,71,13.562691418060131,10.928047817733107,-0.0045152122554792395
pooled,pooled,Processing speed,mean_baseline,1420,13.53599902637345,11.10560865191147,-0.000565180839898094
pooled,pooled,Processing speed,ridge,1420,14.519343789496707,11.798031500102406,-0.15122108137388435
repeat,1,Attention,mean_baseline,81,12.171802130219675,9.711104878917379,-0.025354112117607075
repeat,1,Attention,ridge,81,12.242931909597209,9.798830288829576,-0.03737309092668917
repeat,2,Attention,mean_baseline,81,12.410024054152686,9.852660553181385,-0.06588256088711764
repeat,2,Attention,ridge,81,12.585527048104296,10.063967275080998,-0.09624323122981004
repeat,3,Attention,mean_baseline,81,12.07581819382426,9.589852207977206,-0.009246476742053034
repeat,3,Attention,ridge,81,12.468499502472092,10.074010088126826,-0.07595100290417856
repeat,4,Attention,mean_baseline,81,12.20705000792342,9.671741749762582,-0.03130128189032266
repeat,4,Attention,ridge,81,12.252631004985908,9.874535529787492,-0.03901739739339427
repeat,5,Attention,mean_baseline,81,12.104984294949158,9.648238960113959,-0.014127526074581898
repeat,5,Attention,ridge,81,12.356056177093247,9.84178459918777,-0.056632241666222605
repeat,6,Attention,mean_baseline,81,12.074592319380056,9.61812114197531,-0.009041580204801392
repeat,6,Attention,ridge,81,12.028958419965827,9.500679373295206,-0.0014289853876816583
repeat,7,Attention,mean_baseline,81,12.05729877511986,9.608740800094964,-0.006153298983702538
repeat,7,Attention,ridge,81,12.453768611900596,9.990837923704536,-0.07341014324922046
repeat,8,Attention,mean_baseline,81,12.24913064817549,9.83023771367521,-0.03842382494049379
repeat,8,Attention,ridge,81,12.417295911136206,10.029462101071342,-0.06713206957573159
repeat,9,Attention,mean_baseline,81,12.27258967873976,9.733029736467236,-0.042405126794688996
repeat,9,Attention,ridge,81,12.414524988934707,9.93871752525493,-0.06665586122186906
repeat,10,Attention,mean_baseline,81,12.073769841016349,9.61707324311491,-0.008904120225959877
repeat,10,Attention,ridge,81,12.465852024399467,10.066247419879357,-0.0754941308860062
repeat,11,Attention,mean_baseline,81,12.133840389790155,9.670172720797721,-0.01896828243030968
repeat,11,Attention,ridge,81,12.22304232525955,9.751561315684429,-0.03400524409856098
repeat,12,Attention,mean_baseline,81,12.038700857490685,9.588421771130106,-0.0030517876116700204
repeat,12,Attention,ridge,81,12.318989882012666,9.785301632452738,-0.05030227736268755
repeat,13,Attention,mean_baseline,81,12.35952241236785,9.840070334757835,-0.0572251573377105
repeat,13,Attention,ridge,81,12.40893155239186,9.865674319852852,-0.06569490173145809
repeat,14,Attention,mean_baseline,81,12.060624943329076,9.569699074074073,-0.006708497421807902
repeat,14,Attention,ridge,81,12.304279299144877,10.000740762741163,-0.04779536181522137
repeat,15,Attention,mean_baseline,81,12.09900705623502,9.636204000474832,-0.01312625493145414
repeat,15,Attention,ridge,81,12.094724149455482,9.655238305561912,-0.012409112229438302
repeat,16,Attention,mean_baseline,81,12.222821383933926,9.743867521367518,-0.033967863482752936
repeat,16,Attention,ridge,81,12.304595455135674,9.870069505772806,-0.047849208290684064
repeat,17,Attention,mean_baseline,81,12.161496587389582,9.723535731244064,-0.02361856675177898
repeat,17,Attention,ridge,81,12.220425318966635,9.83587649288289,-0.03356252149714223
repeat,18,Attention,mean_baseline,81,12.136013845296258,9.688685897435896,-0.0193333573783252
repeat,18,Attention,ridge,81,12.04844738957249,9.569901390147564,-0.00467658649654723
repeat,19,Attention,mean_baseline,81,12.056078360127362,9.595168269230768,-0.005949627755224007
repeat,19,Attention,ridge,81,12.00508378277482,9.616438151923948,0.0025422690226135636
repeat,20,Attention,mean_baseline,81,12.146761179121098,9.633070690883189,-0.021139546262272324
repeat,20,Attention,ridge,81,12.641944795118127,9.931601767769667,-0.10609362471638284
pooled,pooled,Attention,mean_baseline,1620,12.025816325275608,9.575008888295345,-0.0009058854439105701
pooled,pooled,Attention,ridge,1620,12.153919125332877,9.703007860040474,-0.02234339236921601
repeat,1,Motor,mean_baseline,79,10.681266377638355,8.935061595840867,-0.0376229496509457
repeat,1,Motor,ridge,79,10.066619818115484,8.470953931965287,0.07835979690499106
repeat,2,Motor,mean_baseline,79,10.544162216555913,8.79014968856741,-0.011156165166716248
repeat,2,Motor,ridge,79,9.919699506080384,8.376590587907495,0.10506579051291987
repeat,3,Motor,mean_baseline,79,10.859495458294605,9.106219547418121,-0.07253969074762168
repeat,3,Motor,ridge,79,10.347356496435893,8.863948439177321,0.026237824696549894
repeat,4,Motor,mean_baseline,79,10.740884854130975,8.988345137633113,-0.04923845292179729
repeat,4,Motor,ridge,79,10.487567984493547,8.875868513895304,-0.00033083253274335256
repeat,5,Motor,mean_baseline,79,10.675153318342494,8.936426624974883,-0.03643559315609002
