device_id,n_rows,Subject_ID_D
52edeca1-615e-4163-832e-ba395caaa2eb,1241,087
d685538f-502f-4b81-be95-543bdabbd934,1185,NOT_MAPPED
4154eee0-32c2-404e-8754-6c56f93d20da,1158,NOT_MAPPED
22ffa8d7-3792-4769-bca3-75e6a17f7292,1140,NOT_MAPPED
a293c071-508a-4d30-948b-a67a6336fa41,1084,NOT_MAPPED
05cc9d77-d2b0-4aeb-afae-b084e7098aea,1076,052
ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1049,006
4e225d42-68d9-4721-aab4-cf8355c071c9,1032,p001
cc310b2b-5603-4c33-9c13-e5bde80a71d7,911,NOT_MAPPED
204448d3-4767-44ba-b7f6-3d2c1cb48247,890,049
f8d3d913-d10d-45b9-b7e4-8f4fd61b146c,790,NOT_MAPPED
911357f0-0c89-4fe2-babb-75000476002f,690,015
7bb3b27a-40b3-4b3d-957c-f266a3ca0906,680,p003
8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,620,010
337ecb41-5629-4c25-ae6d-d746b8906a48,579,NOT_MAPPED
be688103-abc7-4d75-a419-5eef0da4c801,572,NOT_MAPPED
0d83bc9c-1884-4a60-8883-2e7a6a887a9f,557,p002
f93829cd-a27a-4fa8-a698-0b567c733252,550,073
4c5e8b01-cc73-484f-9d26-43dcf4546455,548,NOT_MAPPED
9ca889b9-737b-431b-ac18-12a8f56d3af3,507,042
3826f2e3-e373-434d-9dc2-05e6f2c73ae4,502,082
4c6c7d6e-921b-4288-9f06-67cc96a37d1f,496,031
9aa9b24a-4980-475a-91a1-fc141647d394,461,039
80aa7075-c1e6-494d-980c-141c09cf13d3,430,095
3cb4ec3a-332a-441a-9617-a9d2576c6a33,370,041
4c117a46-b964-4c89-9e9d-5c08ac50c19c,327,NOT_MAPPED
95324fb1-57d7-409e-af1c-99a29227984d,300,052
778441d9-a8ef-49f0-bee6-35bf069a741e,291,034
c6f88504-4c63-46da-8ae6-e53c987adcf3,288,NOT_MAPPED
49f7d20c-3314-4821-96e1-cb7b35970dc9,283,NOT_MAPPED
e2c73e09-d5c7-40b4-a8ea-eb3ac246fce4,283,084
2e2fcc1a4e5bcea2,266,NOT_MAPPED
1d74fbf7-e9f3-4dab-aa94-844b71c8aa24,255,NOT_MAPPED
ca067fc5-febc-4f06-a504-5688ff17b5a0,248,NOT_MAPPED
008a4e8e-8f46-4dbd-983a-8f4006f40f9a,232,NOT_MAPPED
cd8ad3cb-e604-4db0-bd6c-f89d97aa30de,206,NOT_MAPPED
ecf52bb5-691d-4366-9937-3ffa808d3f53,176,NOT_MAPPED
bce3e6dc-a61a-4fc5-8d6f-41ff16761f5b,172,041
18f6b893-f71e-498b-9dbb-ad33ca72b8bb,147,NOT_MAPPED
0bee8c4e-dfed-40a1-8955-5784a5a4d1aa,144,015
aa09b56f-75e8-404b-9474-5c500a17ad9a,142,NOT_MAPPED
5278bdbc-c56d-43c8-b543-ad75bab7aca8,118,052
7edf562c-0060-4fc8-a53f-33439bea6fe1,117,NOT_MAPPED
356fa90d-a89b-467b-8219-8066e98f6579,114,NOT_MAPPED
93d26d20-4c81-41d8-bea1-3efc67589a25,99,NOT_MAPPED
3f18e6f1-0472-402d-bf78-483870e0d9dc,94,NOT_MAPPED
40244c82-0b7d-41a1-804d-6f3279efe348,92,NOT_MAPPED
