analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
repeat,7,Processing speed,mean_baseline,71,13.73686941013005,11.32689823149423,-0.030481729084107734
repeat,7,Processing speed,ridge,71,13.732172223435631,11.215492836807233,-0.029777123490982715
repeat,8,Processing speed,mean_baseline,71,13.61342729644653,11.19356886935649,-0.01204473364517833
repeat,8,Processing speed,ridge,71,12.872548221155542,10.333027624168963,0.09511412001998454
repeat,9,Processing speed,mean_baseline,71,13.645384811893717,11.12448815701225,-0.016801860036765648
repeat,9,Processing speed,ridge,71,13.089044223088615,10.36430127053676,0.0644206517522492
repeat,10,Processing speed,mean_baseline,71,13.651600176105383,11.22019838328215,-0.01772836130972899
repeat,10,Processing speed,ridge,71,11.58175540488618,9.356583774986257,0.2674900397962038
repeat,11,Processing speed,mean_baseline,71,13.658922280778741,11.207864732253167,-0.01882038157550525
repeat,11,Processing speed,ridge,71,12.413524412356804,10.414993592610216,0.1584983691673515
repeat,12,Processing speed,mean_baseline,71,13.70023243941097,11.26984935931378,-0.024992358515764312
repeat,12,Processing speed,ridge,71,13.410951129947259,10.604841218291236,0.017836214930875505
repeat,13,Processing speed,mean_baseline,71,13.704035361069987,11.320855836775037,-0.02556147391698138
repeat,13,Processing speed,ridge,71,13.450158194993872,11.100774870702045,0.012085086921267307
repeat,14,Processing speed,mean_baseline,71,13.65655439585959,11.257625136785624,-0.018467170647375797
repeat,14,Processing speed,ridge,71,12.022507861199664,9.648900137538078,0.21067674871891262
repeat,15,Processing speed,mean_baseline,71,13.984610396829764,11.449730841187474,-0.06798585338262986
repeat,15,Processing speed,ridge,71,12.497052465670693,10.217383176407118,0.14713568588224601
repeat,16,Processing speed,mean_baseline,71,13.540049416417943,11.090617388541778,-0.00116407059794299
repeat,16,Processing speed,ridge,71,12.495519697532558,10.277624751879461,0.14734488130388446
repeat,17,Processing speed,mean_baseline,71,13.991750570365836,11.438252320943201,-0.06907670265580745
repeat,17,Processing speed,ridge,71,13.43925069443214,10.502162216029996,0.013686750337471021
repeat,18,Processing speed,mean_baseline,71,13.932478851172345,11.36567210279219,-0.06003826267671486
repeat,18,Processing speed,ridge,71,14.121770516608171,11.01256111272762,-0.08903805594645564
repeat,19,Processing speed,mean_baseline,71,13.663103750723442,11.243952751597305,-0.0194442695821051
repeat,19,Processing speed,ridge,71,14.166423149319334,11.25093465593385,-0.09593595831516022
repeat,20,Processing speed,mean_baseline,71,13.609849560374073,11.178165484132867,-0.011512853894722674
repeat,20,Processing speed,ridge,71,15.202479188165691,11.36995169688085,-0.26209949150756495
pooled,pooled,Processing speed,mean_baseline,1420,13.53599902637345,11.10560865191147,-0.000565180839898094
pooled,pooled,Processing speed,ridge,1420,16.148623214942845,12.97740692412687,-0.4240845008117269
repeat,1,Attention,mean_baseline,81,12.171802130219675,9.711104878917379,-0.025354112117607075
repeat,1,Attention,ridge,81,12.009844486433547,9.579109185985853,0.0017510138674858844
repeat,2,Attention,mean_baseline,81,12.410024054152686,9.852660553181385,-0.06588256088711764
repeat,2,Attention,ridge,81,12.161543361566228,9.66306307110425,-0.023626440619503253
repeat,3,Attention,mean_baseline,81,12.07581819382426,9.589852207977206,-0.009246476742053034
repeat,3,Attention,ridge,81,12.228376698280043,9.615898994386727,-0.034907960971309215
repeat,4,Attention,mean_baseline,81,12.20705000792342,9.671741749762582,-0.03130128189032266
repeat,4,Attention,ridge,81,12.017369935439786,9.572821998960833,0.00049960291556439
repeat,5,Attention,mean_baseline,81,12.104984294949158,9.648238960113959,-0.014127526074581898
repeat,5,Attention,ridge,81,11.833342295007878,9.321696490279349,0.030876857457600382
repeat,6,Attention,mean_baseline,81,12.074592319380056,9.61812114197531,-0.009041580204801392
repeat,6,Attention,ridge,81,12.388812254236994,9.8742356657933,-0.06224196114535108
repeat,7,Attention,mean_baseline,81,12.05729877511986,9.608740800094964,-0.006153298983702538
repeat,7,Attention,ridge,81,12.032271093763077,9.385297710469828,-0.0019806315463781754
repeat,8,Attention,mean_baseline,81,12.24913064817549,9.83023771367521,-0.03842382494049379
repeat,8,Attention,ridge,81,12.104767480477525,9.672454127015596,-0.014091197972166292
repeat,9,Attention,mean_baseline,81,12.27258967873976,9.733029736467236,-0.042405126794688996
repeat,9,Attention,ridge,81,12.845448362540635,10.2833230885281,-0.14199090575887885
repeat,10,Attention,mean_baseline,81,12.073769841016349,9.61707324311491,-0.008904120225959877
repeat,10,Attention,ridge,81,12.338869490540901,9.723374984419745,-0.05369483558367372
repeat,11,Attention,mean_baseline,81,12.133840389790155,9.670172720797721,-0.01896828243030968
repeat,11,Attention,ridge,81,11.965062723640191,9.40426886172195,0.009181585586640173
repeat,12,Attention,mean_baseline,81,12.038700857490685,9.588421771130106,-0.0030517876116700204
repeat,12,Attention,ridge,81,11.914493727258108,9.432051814342637,0.017539053162823892
repeat,13,Attention,mean_baseline,81,12.35952241236785,9.840070334757835,-0.0572251573377105
repeat,13,Attention,ridge,81,12.67908357069603,10.059943829607896,-0.11260200665698328
repeat,14,Attention,mean_baseline,81,12.060624943329076,9.569699074074073,-0.006708497421807902
repeat,14,Attention,ridge,81,11.798263872692917,9.331485011473447,0.0366140232824691
repeat,15,Attention,mean_baseline,81,12.09900705623502,9.636204000474832,-0.01312625493145414
repeat,15,Attention,ridge,81,12.007127256972474,9.523196059943222,0.0022026707909513776
repeat,16,Attention,mean_baseline,81,12.222821383933926,9.743867521367518,-0.033967863482752936
repeat,16,Attention,ridge,81,12.752134955807913,10.30189057751747,-0.12545960144694157
repeat,17,Attention,mean_baseline,81,12.161496587389582,9.723535731244064,-0.02361856675177898
repeat,17,Attention,ridge,81,12.138710937610075,9.766969165199711,-0.019786478426443654
repeat,18,Attention,mean_baseline,81,12.136013845296258,9.688685897435896,-0.0193333573783252
repeat,18,Attention,ridge,81,11.957296852291694,9.456198528380689,0.010467340864459884
repeat,19,Attention,mean_baseline,81,12.056078360127362,9.595168269230768,-0.005949627755224007
repeat,19,Attention,ridge,81,11.91057576448264,9.435288021441213,0.01818509194770601
repeat,20,Attention,mean_baseline,81,12.146761179121098,9.633070690883189,-0.021139546262272324
repeat,20,Attention,ridge,81,12.086316571472691,9.482415871917102,-0.011002060699490057
pooled,pooled,Attention,mean_baseline,1620,12.025816325275608,9.575008888295345,-0.0009058854439105701
pooled,pooled,Attention,ridge,1620,12.352159823352107,9.933850055644184,-0.05596595077206912
repeat,1,Motor,mean_baseline,79,10.681266377638355,8.935061595840867,-0.0376229496509457
repeat,1,Motor,ridge,79,10.613541680120704,8.97350722158412,-0.024506542761317363
repeat,2,Motor,mean_baseline,79,10.544162216555913,8.79014968856741,-0.011156165166716248
repeat,2,Motor,ridge,79,10.268775611966946,8.682331871301669,0.04097174030413797
repeat,3,Motor,mean_baseline,79,10.859495458294605,9.106219547418121,-0.07253969074762168
repeat,3,Motor,ridge,79,11.188048080157758,9.511833273884584,-0.1384205451545104
repeat,4,Motor,mean_baseline,79,10.740884854130975,8.988345137633113,-0.04923845292179729
repeat,4,Motor,ridge,79,11.042385342435024,9.327247370212095,-0.10897019416133835
repeat,5,Motor,mean_baseline,79,10.675153318342494,8.936426624974883,-0.03643559315609002
repeat,5,Motor,ridge,79,11.201746072138405,9.550088951264904,-0.14120988278043423
repeat,6,Motor,mean_baseline,79,10.609435548180693,8.823877335744424,-0.02371398068991315
repeat,6,Motor,ridge,79,10.8900308501268,9.148759873754326,-0.07857983591874595
repeat,7,Motor,mean_baseline,79,10.651913763288228,8.88304952782801,-0.03192791375208759
repeat,7,Motor,ridge,79,10.827555711907722,9.16280170012035,-0.06623990116004985
repeat,8,Motor,mean_baseline,79,10.631733095098326,8.876371935905164,-0.028021523181221086
repeat,8,Motor,ridge,79,10.556021312439322,8.934894293865325,-0.013431953622089488
repeat,9,Motor,mean_baseline,79,10.684245474654574,8.917986173899939,-0.03820183428919366
repeat,9,Motor,ridge,79,10.335437154905312,8.723131844682376,0.028479927593687893
repeat,10,Motor,mean_baseline,79,10.642412221563115,8.934870403857744,-0.030087768714579077
repeat,10,Motor,ridge,79,10.699831405424714,9.012783455836765,-0.04123305337475025
repeat,11,Motor,mean_baseline,79,10.903481964826305,9.130422757183043,-0.08124595529362577
repeat,11,Motor,ridge,79,10.703054673859835,8.881515841237377,-0.04186047992424746
repeat,12,Motor,mean_baseline,79,10.63790064151375,8.938339172694393,-0.029214594800169635
