table_name,Subject_ID_D,Subject_ID_N,T2_date_iso,device_id,week_first_ts,week_rows,fallback_latest_ts,fallback_rows
calls,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,1755967033397.0,3
calls,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
gsm,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757541248878.0,85,1757937426004.0,59
gsm,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
keyboard,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757564797196.0,667,1757613931021.0,668
keyboard,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
locations,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757538080852.0,194,1757943787395.0,126
locations,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
messages,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,1755853179535.0,1
messages,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
plugin_google_activity_recognition,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,1755932864544.0,36
plugin_google_activity_recognition,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
screen,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757539060492.0,277,1757943785499.0,216
screen,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
telephony,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757541249017.0,85,1757937426013.0,59
telephony,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
gsm_neighbor,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
gsm_neighbor,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
touch,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
touch,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
significant,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,1757541246634.0,92,1757933726555.0,155
significant,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
sensor_linear_accelerometer,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
sensor_linear_accelerometer,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
barometer,006,8,2025-09-18,ce1b6ec7-2b75-4d73-b3c8-3d06f049d22a,,0,,0
barometer,006,8,2025-09-18,f4be3bd3-21f6-4b83-9728-ad22dd496a0a,,0,,0
applications_foreground,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405782317.0,457,1757525735891.0,426
applications_foreground,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
battery,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405779691.0,143,1757525684353.0,133
battery,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
bluetooth,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405867760.0,297,1757516351206.0,136
bluetooth,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
calls,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405523297.0,31,1757522827304.0,17
calls,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
gsm,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,1755841834269.0,136
gsm,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
keyboard,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405866661.0,3217,1757525700629.0,1869
keyboard,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
locations,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,1755841899422.0,12
locations,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
messages,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757394418617.0,4,1757513197901.0,3
messages,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
plugin_google_activity_recognition,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,,0
plugin_google_activity_recognition,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
screen,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405776275.0,413,1757525685728.0,523
screen,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
telephony,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,1755841834287.0,136
telephony,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
gsm_neighbor,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,1755841834269.0,230
gsm_neighbor,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
touch,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,,0
touch,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
significant,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757405774270.0,225,1757947653187.0,225
significant,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
sensor_linear_accelerometer,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,1757452815412.0,14,1757478015095.0,14
sensor_linear_accelerometer,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
barometer,007,57,2025-09-16,1abb2d18-29ea-492a-808b-b01e865ebaa5,,0,,0
barometer,007,57,2025-09-16,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,,0,,0
applications_foreground,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
applications_foreground,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
battery,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
battery,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
bluetooth,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
bluetooth,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
calls,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
calls,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
gsm,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
gsm,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
keyboard,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
keyboard,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
locations,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
locations,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
messages,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
messages,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
plugin_google_activity_recognition,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
plugin_google_activity_recognition,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
screen,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
screen,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
telephony,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
telephony,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
gsm_neighbor,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
gsm_neighbor,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
touch,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
touch,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
significant,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
significant,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
sensor_linear_accelerometer,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
sensor_linear_accelerometer,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
barometer,010,35,2025-12-01,8ae5390c-c8fd-41d0-b47b-bfde7eb1714f,,0,,0
barometer,010,35,2025-12-01,95a0d327-70b6-43eb-b34e-885c91d75380,,0,,0
applications_foreground,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
battery,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
bluetooth,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
calls,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
gsm,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
keyboard,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
locations,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
messages,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
plugin_google_activity_recognition,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
screen,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
telephony,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
gsm_neighbor,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
touch,011,74,2025-09-18,93fac996-2c64-403a-a7d6-02932cb988ba,,0,,0
