table_name,json_key,n_sampled_rows,n_rows_with_key,percent_rows_with_key,inferred_value_type,example_values_compact,possible_feature_family,possible_feature_notes
locations,double_longitude,200,200,100.0,number,34.81607257 | 34.81581218 | 34.81574985 | 34.81629798 | 34.81584249 | 34.81560176 | 34.81574077 | 35.99955239 | 34.81567975 | 34.81595935 | 34.8160946 | 34.81468067 | 34.8160809 | 34.81570453 | 34.81601022 | 34.8161534 | 34.8094596 | 34.81547996 | 35.99920519 | 35.99933704,mobility,location/movement related key
locations,double_speed,200,200,100.0,mixed,0.6899999976158142 | 0 | 0.18000000715255737 | 0.949999988079071 | 0.4300000071525574 | 1.7000000476837158 | 1.6299999952316284 | 3.109999895095825,mobility,location/movement related key
locations,label,200,200,100.0,string,"""""",unknown,table=locations key=label
locations,provider,200,200,100.0,string,"""gps"" | ""network""",unknown,table=locations key=provider
locations,timestamp,200,200,100.0,number,1752135897727 | 1752139151580 | 1752142008038 | 1752160862066 | 1752164693587 | 1752177404948 | 1752178228025 | 1752186529982 | 1752212269063 | 1752222672000 | 1752245276942 | 1752249945336 | 1752250705910 | 1752250895917 | 1752274737773 | 1752275948812 | 1752275951410 | 1752304065499 | 1752306470358 | 1752309788472,unknown,table=locations key=timestamp
messages,device_id,200,200,100.0,string,"""4870fb6a-a6a6-458d-aba8-56ed070c200e""",unknown,table=messages key=device_id
messages,message_type,200,200,100.0,string,"""1""",social_behavior,communication-related key
messages,timestamp,200,200,100.0,number,1743326859147 | 1745140398223 | 1746943626661 | 1747545326541,unknown,table=messages key=timestamp
messages,trace,200,200,100.0,string,"""09f4d3fa2ec3e109e9806a3a32b196038336603c"" | ""5a49662cb89f53be3dfa6eb9763dcfc9532b2b02"" | ""4d2dffaa6e4803fadfc3d0439abc898838340572"" | ""fab9fa5af6726f4fbc7c7dbc87a28acfc40a63e9""",unknown,table=messages key=trace
plugin_google_activity_recognition,activities,200,200,100.0,string,"""[{\""activity\"":\""unknown\"",\""confidence\"":40},{\""activity\"":\""in_vehicle\"",\""confidence\"":10},{\""activity\"":\""on_bicycle\"",\""confidence\"":10},{\""activity\"":\""on_foot\"",\""confidence\"":10},{\""activity\"":\""walking\"",\""confidence\"":10},{\""activity\"":\""running\"",\""confidence\"":10},{\""activity\"":\""still\"",\""confidence\"":10}]"" | ""[{\""activity\"":\""tilting\"",\""confidence\"":100}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""unknown\"",\""confidence\"":2},{\""activity\"":\""in_vehicle\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":99},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":100}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":28},{\""activity\"":\""on_foot\"",\""confidence\"":22},{\""activity\"":\""walking\"",\""confidence\"":22},{\""activity\"":\""in_vehicle\"",\""confidence\"":19},{\""activity\"":\""on_bicycle\"",\""confidence\"":13},{\""activity\"":\""unknown\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""on_foot\"",\""confidence\"":1},{\""activity\"":\""walking\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":97},{\""activity\"":\""unknown\"",\""confidence\"":2},{\""activity\"":\""in_vehicle\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":98},{\""activity\"":\""in_vehicle\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":97},{\""activity\"":\""in_vehicle\"",\""confidence\"":1},{\""activity\"":\""on_foot\"",\""confidence\"":1},{\""activity\"":\""walking\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":51},{\""activity\"":\""on_foot\"",\""confidence\"":27},{\""activity\"":\""walking\"",\""confidence\"":27},{\""activity\"":\""in_vehicle\"",\""confidence\"":9},{\""activity\"":\""on_bicycle\"",\""confidence\"":5},{\""activity\"":\""running\"",\""confidence\"":1},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":53},{\""activity\"":\""in_vehicle\"",\""confidence\"":16},{\""activity\"":\""on_foot\"",\""confidence\"":12},{\""activity\"":\""walking\"",\""confidence\"":12},{\""activity\"":\""unknown\"",\""confidence\"":3},{\""activity\"":\""on_bicycle\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""on_foot\"",\""confidence\"":88},{\""activity\"":\""walking\"",\""confidence\"":88},{\""activity\"":\""on_bicycle\"",\""confidence\"":3},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""running\"",\""confidence\"":2},{\""activity\"":\""still\"",\""confidence\"":2},{\""activity\"":\""unknown\"",\""confidence\"":2}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":96},{\""activity\"":\""in_vehicle\"",\""confidence\"":2},{\""activity\"":\""unknown\"",\""confidence\"":1}]"" | ""[{\""activity\"":\""still\"",\""confidence\"":98},{\""activity\"":\""unknown\"",\""confidence\"":2}]""",unknown,table=plugin_google_activity_recognition key=activities
