Subject_ID_D,device_id,chunk_start_ms,chunk_end_ms,chunk_start_local,chunk_end_local,rows_downloaded,cumulative_rows_downloaded,status,error_message
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737622772000,1737623072000,2025-01-23 10:59:32+0200,2025-01-23 11:04:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737623072000,1737623372000,2025-01-23 11:04:32+0200,2025-01-23 11:09:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737623372000,1737623672000,2025-01-23 11:09:32+0200,2025-01-23 11:14:32+0200,0,0,ok,
007,26b25b93-8dcc-4a4e-8ca2-0d920e37acba,1737623672000,1737623972000,2025-01-23 11:14:32+0200,2025-01-23 11:19:32+0200,0,0,initial_anchor_no_rows,Stopped after 12 consecutive empty initial chunks.
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738059690000,1738059990000,2025-01-28 12:21:30+0200,2025-01-28 12:26:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738059990000,1738060290000,2025-01-28 12:26:30+0200,2025-01-28 12:31:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738060290000,1738060590000,2025-01-28 12:31:30+0200,2025-01-28 12:36:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738060590000,1738060890000,2025-01-28 12:36:30+0200,2025-01-28 12:41:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738060890000,1738061190000,2025-01-28 12:41:30+0200,2025-01-28 12:46:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738061190000,1738061490000,2025-01-28 12:46:30+0200,2025-01-28 12:51:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738061490000,1738061790000,2025-01-28 12:51:30+0200,2025-01-28 12:56:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738061790000,1738062090000,2025-01-28 12:56:30+0200,2025-01-28 13:01:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738062090000,1738062390000,2025-01-28 13:01:30+0200,2025-01-28 13:06:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738062390000,1738062690000,2025-01-28 13:06:30+0200,2025-01-28 13:11:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738062690000,1738062990000,2025-01-28 13:11:30+0200,2025-01-28 13:16:30+0200,0,0,ok,
076,d7e2b2ca-098b-4c70-ae74-ef074e95af83,1738062990000,1738063290000,2025-01-28 13:16:30+0200,2025-01-28 13:21:30+0200,0,0,initial_anchor_no_rows,Stopped after 12 consecutive empty initial chunks.
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737450704000,1737451004000,2025-01-21 11:11:44+0200,2025-01-21 11:16:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737451004000,1737451304000,2025-01-21 11:16:44+0200,2025-01-21 11:21:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737451304000,1737451604000,2025-01-21 11:21:44+0200,2025-01-21 11:26:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737451604000,1737451904000,2025-01-21 11:26:44+0200,2025-01-21 11:31:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737451904000,1737452204000,2025-01-21 11:31:44+0200,2025-01-21 11:36:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737452204000,1737452504000,2025-01-21 11:36:44+0200,2025-01-21 11:41:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737452504000,1737452804000,2025-01-21 11:41:44+0200,2025-01-21 11:46:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737452804000,1737453104000,2025-01-21 11:46:44+0200,2025-01-21 11:51:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737453104000,1737453404000,2025-01-21 11:51:44+0200,2025-01-21 11:56:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737453404000,1737453704000,2025-01-21 11:56:44+0200,2025-01-21 12:01:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737453704000,1737454004000,2025-01-21 12:01:44+0200,2025-01-21 12:06:44+0200,0,0,ok,
022,e543fafa-f97a-414d-8fb4-91a2f135e48d,1737454004000,1737454304000,2025-01-21 12:06:44+0200,2025-01-21 12:11:44+0200,0,0,initial_anchor_no_rows,Stopped after 12 consecutive empty initial chunks.
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736158145000,1736158445000,2025-01-06 12:09:05+0200,2025-01-06 12:14:05+0200,11760,11760,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736158445000,1736158745000,2025-01-06 12:14:05+0200,2025-01-06 12:19:05+0200,16079,27839,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736158745000,1736159045000,2025-01-06 12:19:05+0200,2025-01-06 12:24:05+0200,16074,43913,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736159045000,1736159345000,2025-01-06 12:24:05+0200,2025-01-06 12:29:05+0200,16074,59987,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736159345000,1736159645000,2025-01-06 12:29:05+0200,2025-01-06 12:34:05+0200,16076,76063,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736159645000,1736159945000,2025-01-06 12:34:05+0200,2025-01-06 12:39:05+0200,16079,92142,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736159945000,1736160245000,2025-01-06 12:39:05+0200,2025-01-06 12:44:05+0200,16086,108228,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736160245000,1736160545000,2025-01-06 12:44:05+0200,2025-01-06 12:49:05+0200,7465,115693,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736160545000,1736160845000,2025-01-06 12:49:05+0200,2025-01-06 12:54:05+0200,1629,117322,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736160845000,1736161145000,2025-01-06 12:54:05+0200,2025-01-06 12:59:05+0200,1532,118854,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736161145000,1736161445000,2025-01-06 12:59:05+0200,2025-01-06 13:04:05+0200,1531,120385,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736161445000,1736161745000,2025-01-06 13:04:05+0200,2025-01-06 13:09:05+0200,1532,121917,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736161745000,1736162045000,2025-01-06 13:09:05+0200,2025-01-06 13:14:05+0200,1531,123448,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736162045000,1736162345000,2025-01-06 13:14:05+0200,2025-01-06 13:19:05+0200,1532,124980,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736162345000,1736162645000,2025-01-06 13:19:05+0200,2025-01-06 13:24:05+0200,1531,126511,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736162645000,1736162945000,2025-01-06 13:24:05+0200,2025-01-06 13:29:05+0200,1532,128043,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736162945000,1736163245000,2025-01-06 13:29:05+0200,2025-01-06 13:34:05+0200,1531,129574,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736163245000,1736163545000,2025-01-06 13:34:05+0200,2025-01-06 13:39:05+0200,1532,131106,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736163545000,1736163845000,2025-01-06 13:39:05+0200,2025-01-06 13:44:05+0200,1532,132638,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736163845000,1736164145000,2025-01-06 13:44:05+0200,2025-01-06 13:49:05+0200,1531,134169,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736164145000,1736164445000,2025-01-06 13:49:05+0200,2025-01-06 13:54:05+0200,1723,135892,ok,
003,cc373e47-1b4b-4e15-a7e7-7882510d4949,1736164445000,1736164745000,2025-01-06 13:54:05+0200,2025-01-06 13:59:05+0200,1532,137424,ok,
