repeat,fold,model,feature,importance_mean,importance_std
1,1,random_forest,missing__58,0.0,0.0
1,1,random_forest,missing__59,0.0,0.0
1,1,random_forest,missing__60,0.0,0.0
1,1,random_forest,missing__61,0.0,0.0
1,1,random_forest,missing__62,0.0,0.0
1,1,random_forest,missing__63,-5.3296563166919476e-05,0.005749600984549461
1,1,random_forest,missing__64,0.0,0.0
1,1,random_forest,missing__65,-0.0017283996403888817,0.0093467026469218
1,1,random_forest,missing__66,0.0,0.0
1,1,extra_trees,barometer_downward_transition_count,0.0,0.0
1,1,extra_trees,barometer_estimated_elevation_change_m,0.0,0.0
1,1,extra_trees,barometer_large_vertical_shift_count,0.0,0.0
1,1,extra_trees,barometer_pressure_range,0.0,0.0
1,1,extra_trees,barometer_pressure_sd,0.0,0.0
1,1,extra_trees,barometer_upward_transition_count,0.0,0.0
1,1,extra_trees,sensor_linear_accelerometer_active_hour_count,0.0,0.0
1,1,extra_trees,sensor_linear_accelerometer_event_count,0.0,0.0
1,1,extra_trees,sensor_linear_accelerometer_maximum_range,0.0,0.0
1,1,extra_trees,sensor_linear_accelerometer_power_ma,0.0,0.0
1,1,extra_trees,sensor_linear_accelerometer_resolution,0.0,0.0
1,1,extra_trees,significant_active_hour_count,0.0,0.0
1,1,extra_trees,significant_motion_transition_count,0.0,0.0
1,1,extra_trees,significant_moving_event_count,0.0,0.0
1,1,extra_trees,significant_moving_fraction,0.0,0.0
1,1,extra_trees,app_foreground_event_count,0.0002306859281890894,0.0003262391682936361
1,1,extra_trees,app_use_diversity,0.0030158726681938455,0.002581526679227559
1,1,extra_trees,unique_foreground_apps,0.0,0.0
1,1,extra_trees,charging_or_plugged_event_count,0.0,0.0
1,1,extra_trees,low_battery_event_count,0.0,0.0
1,1,extra_trees,bluetooth_address_diversity_ratio,0.0,0.0
1,1,extra_trees,unique_bluetooth_addresses,0.0,0.0
1,1,extra_trees,call_event_count,0.0,0.0
1,1,extra_trees,incoming_call_count,0.0,0.0
1,1,extra_trees,missed_rejected_blocked_call_count,0.0,0.0
1,1,extra_trees,outgoing_call_count,0.0,0.0
1,1,extra_trees,total_call_duration_seconds,0.0,0.0
1,1,extra_trees,gsm_cell_transition_count,-0.0013747824074326804,0.0004578129073090052
1,1,extra_trees,unique_gsm_cell_count,-0.008686777221154074,0.006671562392308406
1,1,extra_trees,unique_gsm_lac_count,-0.03463397458051295,0.011682768249639625
1,1,extra_trees,gsm_neighbor_cell_transition_count,0.0,0.0
1,1,extra_trees,unique_gsm_neighbor_cell_count,-0.0013455810471700858,0.0007401246510332036
1,1,extra_trees,unique_gsm_neighbor_lac_count,-0.009072776643787842,0.0016836318878075578
1,1,extra_trees,keyboard_deletion_event_count,-0.0003868757275397409,0.0008454337069716764
1,1,extra_trees,keyboard_inter_event_interval_iqr_ms,-0.0011247272802397863,0.0007260835918241831
1,1,extra_trees,keyboard_long_pause_count_2s,0.0,0.0
1,1,extra_trees,keyboard_median_inter_event_interval_ms,0.028733901505118453,0.024990787869673122
1,1,extra_trees,keyboard_median_word_completion_time_ms,-0.0018412369620364188,0.0019711195688725445
1,1,extra_trees,keyboard_typing_burst_count,2.4936105083028792e-05,0.0002788228397286274
1,1,extra_trees,location_distinct_observation_count,0.0,0.0
1,1,extra_trees,location_total_distance_km,0.0,0.0
1,1,extra_trees,message_distinct_event_count,-0.0029109627440906394,0.005128210567492093
1,1,extra_trees,outgoing_message_count,0.0,0.0
1,1,extra_trees,activity_active_hour_count,0.0018421363552239,0.0
1,1,extra_trees,activity_state_diversity,0.0,0.0
1,1,extra_trees,activity_still_fraction,-0.0012148006361639336,0.0017457443841015898
1,1,extra_trees,activity_transition_count,3.877732290173223e-05,0.0013282420099472877
1,1,extra_trees,activity_unknown_fraction,0.022164835320361693,0.00511732159270412
1,1,extra_trees,median_unlocked_session_duration_seconds,0.0,0.0
1,1,extra_trees,night_screen_event_count,0.016069299408470055,0.0017218113967976487
1,1,extra_trees,screen_active_hour_count,0.0037252039291549486,0.00040619933074865903
1,1,extra_trees,screen_event_count,-0.0011135530406883494,0.0003341491512714768
1,1,extra_trees,screen_off_event_count,-0.004669549892120983,0.0007356859155843552
1,1,extra_trees,screen_on_event_count,-0.0010787963442648874,0.00032372356847253336
1,1,extra_trees,screen_transition_count,-0.0028515773209984254,0.0005585592598089455
1,1,extra_trees,screen_unlock_event_count,-0.0016509452680259311,0.001263913712550226
1,1,extra_trees,telephony_event_count,-0.0012925438039748844,0.0009145902720413687
1,1,extra_trees,telephony_mobile_data_enabled_fraction,-0.026634354963073648,0.14655030867304952
1,1,extra_trees,telephony_network_type_diversity,-0.016832250798376098,0.003506027763043758
1,1,extra_trees,touch_active_hour_count,0.0,0.0
1,1,extra_trees,touch_app_diversity,4.9430233654964205e-05,6.990490682612138e-05
1,1,extra_trees,touch_click_event_count,0.0,0.0
1,1,extra_trees,touch_distinct_event_count,0.0,0.0
1,1,extra_trees,touch_scroll_direction_change_count,0.00023995751680179941,0.0007394411081600901
1,1,extra_trees,touch_scroll_event_count,0.0,0.0
1,1,extra_trees,touch_scroll_index_change_median,-0.023814400210819524,0.02757481651326816
1,1,extra_trees,touch_unique_app_count,0.0012019425802437904,0.000576000778418527
1,1,extra_trees,missing__0,0.0,0.0
1,1,extra_trees,missing__1,0.0,0.0
1,1,extra_trees,missing__2,0.0,0.0
1,1,extra_trees,missing__3,0.0,0.0
1,1,extra_trees,missing__4,0.0,0.0
1,1,extra_trees,missing__5,0.0,0.0
1,1,extra_trees,missing__6,0.0,0.0
1,1,extra_trees,missing__7,0.0,0.0
1,1,extra_trees,missing__8,0.0,0.0
1,1,extra_trees,missing__9,0.0,0.0
1,1,extra_trees,missing__10,0.0,0.0
1,1,extra_trees,missing__11,0.0,0.0
1,1,extra_trees,missing__12,0.0,0.0
1,1,extra_trees,missing__13,0.0,0.0
1,1,extra_trees,missing__14,0.0,0.0
1,1,extra_trees,missing__15,0.00040338859003045496,0.004674970294206175
1,1,extra_trees,missing__16,0.0,0.0
1,1,extra_trees,missing__17,-0.0008438661152953367,0.0015659197131728964
1,1,extra_trees,missing__18,0.0,0.0
1,1,extra_trees,missing__19,0.0,0.0
1,1,extra_trees,missing__20,0.0,0.0
