analysis_scope,repeat,model,n_predictions,rmse,mae,r2
repeat,9,random_forest,81,8.651137081537293,6.886142388018594,-0.0284514132321958
repeat,9,extra_trees,81,8.778595106636391,7.112372027781945,-0.05897919799790752
repeat,9,hist_gradient_boosting,81,8.507924832026035,6.948756485249277,0.0053170346741087116
repeat,9,xgboost,81,8.556400777935876,6.878420511881511,-0.006050147326765343
repeat,10,elastic_net,81,8.779612366087413,7.003235937134922,-0.059224640235646886
repeat,10,pls,81,9.570632815842414,7.57587567909531,-0.25868976567929103
repeat,10,spline_ridge,81,8.78835674488227,7.069137433245532,-0.06133563868117187
repeat,10,random_forest,81,8.577085691698146,6.8604927910863704,-0.010920235817071244
repeat,10,extra_trees,81,8.870185014682686,7.098205333902741,-0.08119181392431951
repeat,10,hist_gradient_boosting,81,8.807978901522274,7.1555236010146785,-0.06608031256818037
repeat,10,xgboost,81,8.627287008522929,6.9210935804578995,-0.022788613091418997
repeat,11,elastic_net,81,8.62240795183971,6.899959266781049,-0.02163208902361835
repeat,11,pls,81,9.013793704811349,7.304147401149242,-0.1164843004291698
repeat,11,spline_ridge,81,8.496005623857348,7.014913262377994,0.008102091858584015
repeat,11,random_forest,81,8.417199942504121,6.819801946068634,0.02641767909503301
repeat,11,extra_trees,81,8.626091738142092,6.983541240283003,-0.022505227538713646
repeat,11,hist_gradient_boosting,81,8.759603447252296,7.195497499678864,-0.05440215189391595
repeat,11,xgboost,81,8.619569494586866,6.997948182659385,-0.020959566517408268
repeat,12,elastic_net,81,8.777127099688652,6.977450822455704,-0.058625050479388374
repeat,12,pls,81,9.228124369869494,7.272536553400095,-0.1702112525863635
repeat,12,spline_ridge,81,8.845734146880824,7.065422920856523,-0.07523936936084241
repeat,12,random_forest,81,8.72216144199037,6.978421502406602,-0.045407553706003245
repeat,12,extra_trees,81,8.69730889129101,6.9515533948459955,-0.03945856278924986
repeat,12,hist_gradient_boosting,81,8.852686605753298,7.2507729229996345,-0.07693023981697333
repeat,12,xgboost,81,8.772289964052803,7.077978967737268,-0.05745854078474322
repeat,13,elastic_net,81,9.311863546471841,7.464320552936698,-0.191545411458518
repeat,13,pls,81,9.744875805100014,7.647308759568202,-0.30493839368060494
repeat,13,spline_ridge,81,9.657135113141077,7.794530588947512,-0.2815454329553799
repeat,13,random_forest,81,8.971830702629664,7.22019685752756,-0.10611308958726928
repeat,13,extra_trees,81,9.119894507662206,7.286809229655202,-0.14292312884641079
repeat,13,hist_gradient_boosting,81,9.161743024381634,7.528657119763297,-0.15343627145006233
repeat,13,xgboost,81,8.931282012312916,7.226465747974537,-0.09613740361642531
repeat,14,elastic_net,81,8.891377907926934,7.1675431886083905,-0.08636441303837517
repeat,14,pls,81,9.393414670600611,7.582423992723503,-0.21250735350565697
repeat,14,spline_ridge,81,9.064364200034689,7.3892939500847765,-0.12904716777431258
repeat,14,random_forest,81,8.784309990194341,7.005059916831933,-0.060358442090372666
repeat,14,extra_trees,81,8.652059013586998,7.011917427320542,-0.028670624379178777
repeat,14,hist_gradient_boosting,81,8.70600183352878,6.9697329424228345,-0.041537474569012245
repeat,14,xgboost,81,8.720551169432163,7.057485641667873,-0.04502158614177487
repeat,15,elastic_net,81,8.62938730043929,6.86886513355111,-0.02328666448013461
repeat,15,pls,81,8.867436819923045,7.299784388985924,-0.0805219597153004
repeat,15,spline_ridge,81,8.71100640894012,6.873798996125029,-0.04273525768537079
repeat,15,random_forest,81,8.74205839256845,7.0814212001394745,-0.05018255070136379
repeat,15,extra_trees,81,8.626755889792438,6.981985515421853,-0.02266268579397157
repeat,15,hist_gradient_boosting,81,8.910396362228477,7.354203287527625,-0.09101680074069995
repeat,15,xgboost,81,8.853550032296575,7.138757192352672,-0.07714032191772557
repeat,16,elastic_net,81,8.91754148232044,7.190908333355861,-0.0927672439926639
repeat,16,pls,81,10.098660317674305,8.01069919961826,-0.40140905932376425
repeat,16,spline_ridge,81,9.248560075887049,7.452691513798227,-0.17539986320499734
repeat,16,random_forest,81,8.555187203550888,6.896228191295761,-0.005764786662216137
repeat,16,extra_trees,81,8.859001099292055,7.078055644823763,-0.0784671053157373
repeat,16,hist_gradient_boosting,81,8.82534220815987,7.126955142835621,-0.07028761705211162
repeat,16,xgboost,81,8.660338051654358,7.04173519935137,-0.030640208234325117
repeat,17,elastic_net,81,8.75151973175606,6.9802237653436245,-0.05245696016075829
repeat,17,pls,81,9.819262335873745,7.78410676391838,-0.3249366632051274
