repeat,fold,feature,gradient_weight,extra_weight
2,4,activity_still_fraction,1.0286090039471385,0.0286090039471385
2,4,activity_transition_count,1.1326483932190334,0.13264839321903343
2,4,activity_unknown_fraction,1.0317348378227753,0.03173483782277531
2,4,median_unlocked_session_duration_seconds,1.1841301450041304,0.18413014500413039
2,4,night_screen_event_count,1.0646241389510345,0.06462413895103447
2,4,screen_active_hour_count,1.1585451988112303,0.1585451988112303
2,4,screen_event_count,1.2321985892748548,0.23219858927485482
2,4,screen_off_event_count,1.2381674220600383,0.23816742206003827
2,4,screen_on_event_count,1.2202854677255055,0.2202854677255055
2,4,screen_transition_count,1.1526818093848972,0.15268180938489717
2,4,screen_unlock_event_count,1.2589364729571595,0.2589364729571595
2,4,telephony_event_count,1.0606511131442513,0.06065111314425131
2,4,telephony_mobile_data_enabled_fraction,1.3416182479120629,0.34161824791206286
2,4,telephony_network_type_diversity,1.1646724438370997,0.16467244383709967
2,4,touch_active_hour_count,1.1911155752374845,0.19111557523748446
2,4,touch_app_diversity,1.199534180650704,0.19953418065070405
2,4,touch_click_event_count,1.1111858420381042,0.11118584203810422
2,4,touch_distinct_event_count,1.0880580169790193,0.08805801697901927
2,4,touch_scroll_direction_change_count,1.1252136403665822,0.12521364036658222
2,4,touch_scroll_event_count,1.0517758940850421,0.05177589408504213
2,4,touch_scroll_index_change_median,1.155244585447191,0.1552445854471911
2,4,touch_unique_app_count,1.2885401437679307,0.2885401437679307
2,5,app_foreground_event_count,1.0630437557657377,0.06304375576573773
2,5,app_use_diversity,1.0672007351187833,0.06720073511878333
2,5,unique_foreground_apps,1.1233894975692917,0.12338949756929174
2,5,gsm_cell_transition_count,1.2329897459744186,0.23298974597441857
2,5,unique_gsm_cell_count,1.2421997958168272,0.24219979581682716
2,5,unique_gsm_lac_count,1.264112298172403,0.2641122981724029
2,5,keyboard_deletion_event_count,1.030777484214777,0.030777484214776996
2,5,keyboard_inter_event_interval_iqr_ms,1.0445741147423802,0.044574114742380155
2,5,keyboard_long_pause_count_2s,1.0328816287561793,0.03288162875617928
2,5,keyboard_median_inter_event_interval_ms,1.176101139921006,0.17610113992100596
2,5,keyboard_typing_burst_count,1.0189631535022696,0.018963153502269625
2,5,message_distinct_event_count,1.236353991159886,0.23635399115988598
2,5,outgoing_message_count,1.0,0.0
2,5,activity_active_hour_count,1.1308297908110878,0.1308297908110878
2,5,activity_state_diversity,1.11402306302696,0.11402306302696008
2,5,activity_still_fraction,1.0716488923351413,0.07164889233514127
2,5,activity_transition_count,1.053867709712858,0.053867709712857925
2,5,activity_unknown_fraction,1.1677687288738265,0.16776872887382654
2,5,median_unlocked_session_duration_seconds,1.0772404061280088,0.07724040612800875
2,5,night_screen_event_count,1.0047533620878544,0.004753362087854374
2,5,screen_active_hour_count,1.0536807001372543,0.053680700137254345
2,5,screen_event_count,1.1228427419354838,0.12284274193548383
2,5,screen_off_event_count,1.1209841741351756,0.12098417413517559
2,5,screen_on_event_count,1.1116779958509015,0.11167799585090155
2,5,screen_transition_count,1.0315392534327934,0.0315392534327934
2,5,screen_unlock_event_count,1.1952242760561302,0.19522427605613024
2,5,telephony_event_count,1.0222168461129755,0.022216846112975475
2,5,telephony_mobile_data_enabled_fraction,1.1805419225106306,0.18054192251063061
2,5,telephony_network_type_diversity,1.139962706760171,0.13996270676017097
2,5,touch_active_hour_count,1.0032113390595618,0.003211339059561835
2,5,touch_app_diversity,1.1507436769278914,0.15074367692789137
2,5,touch_click_event_count,1.1186707593444891,0.11867075934448912
2,5,touch_distinct_event_count,1.1283693911816908,0.12836939118169077
2,5,touch_scroll_direction_change_count,1.065005905465494,0.0650059054654939
2,5,touch_scroll_event_count,1.129308941073222,0.129308941073222
2,5,touch_scroll_index_change_median,1.304616423350296,0.30461642335029593
2,5,touch_unique_app_count,1.1558965266669083,0.15589652666690834
3,1,app_foreground_event_count,1.1988899566465079,0.19888995664650788
3,1,app_use_diversity,1.0274510642586432,0.027451064258643187
3,1,unique_foreground_apps,1.054654348199797,0.054654348199796976
3,1,gsm_cell_transition_count,1.012718166303269,0.01271816630326894
3,1,unique_gsm_cell_count,1.0050783248240442,0.005078324824044245
3,1,unique_gsm_lac_count,1.0571508364401088,0.057150836440108765
3,1,keyboard_deletion_event_count,1.0920030941537953,0.09200309415379526
3,1,keyboard_inter_event_interval_iqr_ms,1.0293007099461076,0.02930070994610756
3,1,keyboard_long_pause_count_2s,1.0871089598088863,0.08710895980888633
3,1,keyboard_median_inter_event_interval_ms,1.1219558248337251,0.12195582483372513
3,1,keyboard_typing_burst_count,1.051586429450893,0.05158642945089298
3,1,message_distinct_event_count,1.0546165462426258,0.054616546242625796
3,1,outgoing_message_count,1.1678859514851838,0.16788595148518382
