analysis_scope,repeat,cohort_size,domain,model,n_predictions,rmse,mae,r2
pooled,pooled,30,Attention,mean_baseline,300,10.749851969265025,8.374611111111113,0.003652399193981082
pooled,pooled,30,Attention,ridge,300,12.05483824230423,9.497549751539543,-0.2529354179245955
pooled,pooled,30,Attention,domain_group_ridge,300,11.246822152149578,8.854316737769466,-0.09060018475777842
repeat,1,30,Motor,ridge,29,10.246530535104398,8.93189024435858,-0.08412425231271037
repeat,2,30,Motor,ridge,29,10.09370898868612,9.0765259496098,-0.052027134559885724
repeat,3,30,Motor,ridge,29,12.029094023371645,9.888416170346636,-0.4941397561584253
repeat,4,30,Motor,ridge,29,12.736580153598958,10.87468218433369,-0.6750626259311889
repeat,5,30,Motor,ridge,29,11.129435302619662,9.363438281542077,-0.27900322937902144
repeat,6,30,Motor,ridge,29,9.786420615440896,8.632074444334773,0.011052725667893726
repeat,7,30,Motor,ridge,29,9.839411677568423,8.822089682399898,0.0003139173519863814
repeat,8,30,Motor,ridge,29,12.470772423820288,10.949734422889058,-0.6058763069503659
repeat,9,30,Motor,ridge,29,10.62318064149231,9.29951584694407,-0.1652913310834352
repeat,10,30,Motor,ridge,29,10.695053364323082,9.561402179437584,-0.1811125779001641
repeat,1,30,Motor,domain_group_ridge,29,11.010349151733285,9.795246242100808,-0.2517787220493286
repeat,2,30,Motor,domain_group_ridge,29,9.896201539520863,8.824997766854652,-0.011259105769940492
repeat,3,30,Motor,domain_group_ridge,29,21.56173424127845,14.061662135943402,-3.800569486840976
repeat,4,30,Motor,domain_group_ridge,29,15.18944849063349,12.402545885485813,-1.3823709984991357
repeat,5,30,Motor,domain_group_ridge,29,10.75157957074363,9.388401318327436,-0.19363056044303018
repeat,6,30,Motor,domain_group_ridge,29,11.55190156077077,10.011844310411247,-0.3779464538567534
repeat,7,30,Motor,domain_group_ridge,29,10.052036194439594,8.995993416889565,-0.043358287502887505
repeat,8,30,Motor,domain_group_ridge,29,10.342652829263622,9.088999154916417,-0.10455991058084901
repeat,9,30,Motor,domain_group_ridge,29,11.170002932865739,9.936749182439186,-0.2883443492303721
repeat,10,30,Motor,domain_group_ridge,29,11.638106734688396,10.09734268951918,-0.3985888267474793
pooled,pooled,30,Motor,mean_baseline,290,9.877713274471489,8.710188655672164,-0.007484129724172339
pooled,pooled,30,Motor,ridge,290,11.976425203827757,9.719996023361777,-0.48108435950181927
