analysis_scope,repeat,model,n_predictions,rmse,mae,r2,cohort_size
repeat,6,random_forest,10,10.837801608372022,8.40382500000002,-0.32582864276195234,10
repeat,6,extra_trees,10,10.824650687204553,8.367499999999998,-0.32261299258057985,10
repeat,6,hist_gradient_boosting,10,10.824650687204647,8.367500000000001,-0.3226129925806027,10
repeat,6,xgboost,10,10.82465184239943,8.367500915527344,-0.3226132748762174,10
repeat,7,elastic_net,10,10.068757877065883,7.975361957148143,-0.1443445317017682,10
repeat,7,pls,10,11.488541136970094,9.440057277706716,-0.4898233302501471,10
repeat,7,spline_ridge,10,12.162643947744556,9.570504578210617,-0.6697866717191177,10
repeat,7,random_forest,10,11.344599896353037,8.801649999999995,-0.45272486833852366,10
repeat,7,extra_trees,10,11.273167811223422,8.7075000000002,-0.434488092053398,10
repeat,7,hist_gradient_boosting,10,11.273167811223251,8.707500000000001,-0.4344880920533545,10
repeat,7,xgboost,10,11.273166775081334,8.707499694824218,-0.43448782835938693,10
repeat,8,elastic_net,10,7.017241592672052,5.70864613109301,0.44417527556151637,10
repeat,8,pls,10,8.845634848629283,7.147773832928207,0.11679195012552179,10
repeat,8,spline_ridge,10,11.010054186876747,8.69752470076056,-0.368308158379383,10
repeat,8,random_forest,10,10.218059050153832,7.423666666666657,-0.17853319598960393,10
repeat,8,extra_trees,10,10.192432854819362,7.397499999999906,-0.1726292468515942,10
repeat,8,hist_gradient_boosting,10,10.192432854819307,7.397500000000003,-0.17262924685158176,10
repeat,8,xgboost,10,10.19243353523792,7.397500610351562,-0.1726294034145539,10
repeat,9,elastic_net,10,7.591378909475874,5.860045285772742,0.34950143695391467,10
repeat,9,pls,10,11.061009774460619,9.21393533502947,-0.38100278953443145,10
repeat,9,spline_ridge,10,10.085404638701169,7.619954404604675,-0.14813156846191733,10
repeat,9,random_forest,10,10.06377351877281,7.645224999999985,-0.14321183759221023,10
repeat,9,extra_trees,10,10.085720103195666,7.620000000000195,-0.14820339511090896,10
repeat,9,hist_gradient_boosting,10,10.085720103195412,7.620000000000002,-0.14820339511085123,10
repeat,9,xgboost,10,10.085719973841838,7.619999694824219,-0.14820336565847492,10
repeat,10,elastic_net,10,7.292277124183574,5.896099981694517,0.39975115551058116,10
repeat,10,pls,10,9.665952479225647,7.891454151082788,-0.054615900635027304,10
repeat,10,spline_ridge,10,10.64507878439337,8.128589283197158,-0.279094889114738,10
repeat,10,random_forest,10,10.35620200243689,8.030016666666674,-0.21061494100803357,10
repeat,10,extra_trees,10,10.358357133252278,8.017499999999998,-0.21111885258390228,10
repeat,10,hist_gradient_boosting,10,10.358357133252358,8.017500000000002,-0.21111885258392116,10
repeat,10,xgboost,10,10.358358285208721,8.017500915527345,-0.2111191219618016,10
repeat,1,mean_baseline,10,10.091630195364871,7.570000000000002,-0.14954945192630076,10
repeat,2,mean_baseline,10,10.283965067035188,7.467500000000004,-0.19378519642270642,10
repeat,3,mean_baseline,10,10.79045585227983,8.2375,-0.31426998005465534,10
repeat,4,mean_baseline,10,10.282050500751296,7.707499999999999,-0.19334074370062315,10
repeat,5,mean_baseline,10,10.353224135504847,7.637500000000003,-0.20991883023429914,10
repeat,6,mean_baseline,10,10.824650687204647,8.367500000000001,-0.3226129925806027,10
repeat,7,mean_baseline,10,11.273167811223251,8.707500000000001,-0.4344880920533545,10
repeat,8,mean_baseline,10,10.192432854819307,7.397500000000003,-0.17262924685158176,10
repeat,9,mean_baseline,10,10.085720103195412,7.620000000000002,-0.14820339511085123,10
repeat,10,mean_baseline,10,10.358357133252358,8.017500000000002,-0.21111885258392116,10
pooled,pooled,mean_baseline,100,9.586857214436858,7.330000000000004,-0.037426940438255896,10
pooled,pooled,elastic_net,100,9.157508030852094,7.266752369643151,0.053414995974578106,10
pooled,pooled,pls,100,12.40321466731068,9.647998402242276,-0.7364949480076752,10
pooled,pooled,spline_ridge,100,10.085345499769886,7.808498678533783,-0.1481181036427479,10
pooled,pooled,random_forest,100,9.586968099759101,7.350976666666663,-0.0374509391446709,10
pooled,pooled,extra_trees,100,9.586857214436831,7.33000000000001,-0.03742694043825012,10
pooled,pooled,hist_gradient_boosting,100,9.586857214436858,7.330000000000004,-0.037426940438255896,10
pooled,pooled,xgboost,100,9.586857232780652,7.330000030517578,-0.037426944408346596,10
