analysis_scope,repeat,domain,model,n_predictions,rmse,mae,r2
pooled,pooled,Processing speed,mean_baseline,1420,13.53599902637345,11.10560865191147,-0.000565180839898094
pooled,pooled,Processing speed,domain_group_ridge,1420,14.498224333358129,11.828416032455394,-0.14787444521155435
repeat,1,Attention,mean_baseline,81,12.171802130219675,9.711104878917379,-0.025354112117607075
repeat,1,Attention,domain_group_ridge,81,12.256275413338628,9.81862687320358,-0.03963557757390346
repeat,2,Attention,mean_baseline,81,12.410024054152686,9.852660553181385,-0.06588256088711764
repeat,2,Attention,domain_group_ridge,81,12.488544076186528,9.996347075987286,-0.0794132182107492
repeat,3,Attention,mean_baseline,81,12.07581819382426,9.589852207977206,-0.009246476742053034
repeat,3,Attention,domain_group_ridge,81,12.131407265981156,9.817536368734446,-0.018559668614397173
repeat,4,Attention,mean_baseline,81,12.20705000792342,9.671741749762582,-0.03130128189032266
repeat,4,Attention,domain_group_ridge,81,12.350557031271448,10.020189328837697,-0.05569192840185977
repeat,5,Attention,mean_baseline,81,12.104984294949158,9.648238960113959,-0.014127526074581898
repeat,5,Attention,domain_group_ridge,81,12.253051416416293,9.728805286154996,-0.03908870000326403
repeat,6,Attention,mean_baseline,81,12.074592319380056,9.61812114197531,-0.009041580204801392
repeat,6,Attention,domain_group_ridge,81,12.096513285850913,9.572585352458294,-0.012708659691667012
repeat,7,Attention,mean_baseline,81,12.05729877511986,9.608740800094964,-0.006153298983702538
repeat,7,Attention,domain_group_ridge,81,12.658036877169428,10.096141219444979,-0.10891133641436457
repeat,8,Attention,mean_baseline,81,12.24913064817549,9.83023771367521,-0.03842382494049379
repeat,8,Attention,domain_group_ridge,81,12.39181277257155,10.00702281012972,-0.0627565645451329
repeat,9,Attention,mean_baseline,81,12.27258967873976,9.733029736467236,-0.042405126794688996
repeat,9,Attention,domain_group_ridge,81,12.423523355898347,9.8663369280422,-0.06820270080995794
repeat,10,Attention,mean_baseline,81,12.073769841016349,9.61707324311491,-0.008904120225959877
repeat,10,Attention,domain_group_ridge,81,12.845177465066604,10.391446783946941,-0.14194273940750857
repeat,11,Attention,mean_baseline,81,12.133840389790155,9.670172720797721,-0.01896828243030968
repeat,11,Attention,domain_group_ridge,81,12.197028099784498,9.719074125483116,-0.029608593817245454
repeat,12,Attention,mean_baseline,81,12.038700857490685,9.588421771130106,-0.0030517876116700204
repeat,12,Attention,domain_group_ridge,81,12.599645834971005,9.999523143416658,-0.09870420184898188
repeat,13,Attention,mean_baseline,81,12.35952241236785,9.840070334757835,-0.0572251573377105
repeat,13,Attention,domain_group_ridge,81,12.463654372330467,10.005629421539927,-0.07511495847858618
repeat,14,Attention,mean_baseline,81,12.060624943329076,9.569699074074073,-0.006708497421807902
repeat,14,Attention,domain_group_ridge,81,12.3002138492626,10.009043622003832,-0.04710307327162755
repeat,15,Attention,mean_baseline,81,12.09900705623502,9.636204000474832,-0.01312625493145414
repeat,15,Attention,domain_group_ridge,81,12.341477440688578,9.891746041242872,-0.054140301679546976
repeat,16,Attention,mean_baseline,81,12.222821383933926,9.743867521367518,-0.033967863482752936
repeat,16,Attention,domain_group_ridge,81,12.544309399075575,10.069100983067672,-0.08907458763385834
repeat,17,Attention,mean_baseline,81,12.161496587389582,9.723535731244064,-0.02361856675177898
repeat,17,Attention,domain_group_ridge,81,12.395582744955865,9.940681833867671,-0.06340330968779329
repeat,18,Attention,mean_baseline,81,12.136013845296258,9.688685897435896,-0.0193333573783252
repeat,18,Attention,domain_group_ridge,81,12.097602934934258,9.595473620867574,-0.01289111669195142
repeat,19,Attention,mean_baseline,81,12.056078360127362,9.595168269230768,-0.005949627755224007
repeat,19,Attention,domain_group_ridge,81,12.211954434365804,9.793519782278546,-0.0321301401874885
repeat,20,Attention,mean_baseline,81,12.146761179121098,9.633070690883189,-0.021139546262272324
repeat,20,Attention,domain_group_ridge,81,12.620172932836859,9.923394500045164,-0.1022870930821198
pooled,pooled,Attention,mean_baseline,1620,12.025816325275608,9.575008888295345,-0.0009058854439105701
pooled,pooled,Attention,domain_group_ridge,1620,12.267470159497288,9.772173828029004,-0.04153562815441392
repeat,1,Motor,mean_baseline,79,10.681266377638355,8.935061595840867,-0.0376229496509457
repeat,1,Motor,domain_group_ridge,79,10.587237871967515,9.019991259340392,-0.01943471454701662
repeat,2,Motor,mean_baseline,79,10.544162216555913,8.79014968856741,-0.011156165166716248
repeat,2,Motor,domain_group_ridge,79,10.305564953776626,8.701092647822168,0.034087721955950556
repeat,3,Motor,mean_baseline,79,10.859495458294605,9.106219547418121,-0.07253969074762168
repeat,3,Motor,domain_group_ridge,79,10.512952946219883,9.076275919637137,-0.005179257260180314
repeat,4,Motor,mean_baseline,79,10.740884854130975,8.988345137633113,-0.04923845292179729
repeat,4,Motor,domain_group_ridge,79,10.622138297311931,9.076150129494339,-0.026166847611551525
repeat,5,Motor,mean_baseline,79,10.675153318342494,8.936426624974883,-0.03643559315609002
repeat,5,Motor,domain_group_ridge,79,10.460413446064324,8.912915125285695,0.0048425987171780704
repeat,6,Motor,mean_baseline,79,10.609435548180693,8.823877335744424,-0.02371398068991315
repeat,6,Motor,domain_group_ridge,79,10.283978270039881,8.764738018537818,0.03813000497766861
repeat,7,Motor,mean_baseline,79,10.651913763288228,8.88304952782801,-0.03192791375208759
repeat,7,Motor,domain_group_ridge,79,10.438906233737562,8.943512912504385,0.00893059364677995
repeat,8,Motor,mean_baseline,79,10.631733095098326,8.876371935905164,-0.028021523181221086
repeat,8,Motor,domain_group_ridge,79,10.492877273213201,8.885406092618247,-0.0013439157490777731
repeat,9,Motor,mean_baseline,79,10.684245474654574,8.917986173899939,-0.03820183428919366
repeat,9,Motor,domain_group_ridge,79,10.477267966802364,8.885971268565175,0.0016330862143556502
repeat,10,Motor,mean_baseline,79,10.642412221563115,8.934870403857744,-0.030087768714579077
repeat,10,Motor,domain_group_ridge,79,10.312938885855196,8.752346691600742,0.03270495065367418
repeat,11,Motor,mean_baseline,79,10.903481964826305,9.130422757183043,-0.08124595529362577
repeat,11,Motor,domain_group_ridge,79,10.573565866404374,8.956257815445397,-0.01680348666573206
repeat,12,Motor,mean_baseline,79,10.63790064151375,8.938339172694393,-0.029214594800169635
repeat,12,Motor,domain_group_ridge,79,10.52025568887947,8.964726608250105,-0.0065762225113359385
repeat,13,Motor,mean_baseline,79,10.782166180650917,9.075048975286318,-0.05731920079417496
repeat,13,Motor,domain_group_ridge,79,11.339618593647385,9.640432521031098,-0.16947507869410794
repeat,14,Motor,mean_baseline,79,10.761680422305366,8.93439823186659,-0.05330527471445379
repeat,14,Motor,domain_group_ridge,79,10.546380410123229,8.965512716706398,-0.011581647244977455
repeat,15,Motor,mean_baseline,79,10.502220917458583,8.764063441832427,-0.0031280530840918086
repeat,15,Motor,domain_group_ridge,79,10.971589209246003,9.360583041093497,-0.0947958793412027
repeat,16,Motor,mean_baseline,79,10.568860789465463,8.830974984930682,-0.0158987636494341
repeat,16,Motor,domain_group_ridge,79,10.423957186491497,8.92746076267047,0.011767085275413147
repeat,17,Motor,mean_baseline,79,10.531482481448748,8.811397428169581,-0.008725723925357087
repeat,17,Motor,domain_group_ridge,79,11.01866196669124,9.361307825822818,-0.10421030664022735
repeat,18,Motor,mean_baseline,79,10.600828091962349,8.861200899136026,-0.0220535721214441
repeat,18,Motor,domain_group_ridge,79,10.583015125224255,9.043697252054946,-0.01862166846649238
repeat,19,Motor,mean_baseline,79,10.650504272929394,8.86978162045409,-0.031654836773329365
repeat,19,Motor,domain_group_ridge,79,10.201603744665597,8.684080941961184,0.05347742253843435
repeat,20,Motor,mean_baseline,79,10.902999531437825,9.097933619650394,-0.08115027620473958
repeat,20,Motor,domain_group_ridge,79,10.690859648995518,9.056172080347118,-0.03948764776850777
pooled,pooled,Motor,mean_baseline,1580,10.505300668627191,8.770706280138638,-0.0037164691525382043
pooled,pooled,Motor,domain_group_ridge,1580,10.883400413605594,9.014676911792364,-0.07726684091657687
