repeat,fold,feature_scope,term_name,coefficient,ridge_alpha
1,1,t1_week_all_available,app_foreground_event_count,0.13601871044424818,356.2247890262444
1,1,t1_week_all_available,app_use_diversity,0.1473631622062659,356.2247890262444
1,1,t1_week_all_available,unique_foreground_apps,0.0925098885354822,356.2247890262444
1,1,t1_week_all_available,bluetooth_address_diversity_ratio,0.0,356.2247890262444
1,1,t1_week_all_available,unique_bluetooth_addresses,0.0,356.2247890262444
1,1,t1_week_all_available,call_event_count,-0.013940162213354519,356.2247890262444
1,1,t1_week_all_available,incoming_call_count,-0.03456549812383622,356.2247890262444
1,1,t1_week_all_available,missed_rejected_blocked_call_count,0.1564186709269747,356.2247890262444
1,1,t1_week_all_available,outgoing_call_count,-0.022471583143989976,356.2247890262444
1,1,t1_week_all_available,total_call_duration_seconds,0.0030001241778485847,356.2247890262444
1,1,t1_week_all_available,gsm_cell_transition_count,-0.02090962132093717,356.2247890262444
1,1,t1_week_all_available,unique_gsm_cell_count,-0.021066684964582492,356.2247890262444
1,1,t1_week_all_available,unique_gsm_lac_count,-0.06996552161871858,356.2247890262444
1,1,t1_week_all_available,gsm_neighbor_cell_transition_count,-0.04292855254319379,356.2247890262444
1,1,t1_week_all_available,unique_gsm_neighbor_cell_count,-0.3129364663374672,356.2247890262444
1,1,t1_week_all_available,unique_gsm_neighbor_lac_count,-0.36575008296628936,356.2247890262444
1,1,t1_week_all_available,keyboard_deletion_event_count,0.08185987701672051,356.2247890262444
1,1,t1_week_all_available,keyboard_inter_event_interval_iqr_ms,5.701113849303219e-05,356.2247890262444
1,1,t1_week_all_available,keyboard_long_pause_count_2s,0.051929542914273236,356.2247890262444
1,1,t1_week_all_available,keyboard_median_inter_event_interval_ms,0.001480302237996188,356.2247890262444
1,1,t1_week_all_available,keyboard_median_word_completion_time_ms,-0.19547202354209867,356.2247890262444
1,1,t1_week_all_available,keyboard_typing_burst_count,0.0461703090119514,356.2247890262444
1,1,t1_week_all_available,location_distinct_observation_count,0.0,356.2247890262444
1,1,t1_week_all_available,location_total_distance_km,0.0,356.2247890262444
1,1,t1_week_all_available,message_distinct_event_count,-0.044050247346245804,356.2247890262444
