feature_scope,term_name,coefficient_mean,coefficient_sd,coefficient_median,coefficient_positive_fraction,n_outer_folds,absolute_mean_coefficient
all_available,missingindicator_unique_gsm_neighbor_cell_count,0.024805768341938733,0.046499516765714975,0.0047791841136698,0.89,100,0.024805768341938733
all_available,missingindicator_unique_gsm_neighbor_lac_count,0.024805768341938733,0.046499516765714975,0.0047791841136698,0.89,100,0.024805768341938733
all_available,missingindicator_median_unlocked_session_duration_seconds,0.024713529906678217,0.03381911237603655,0.00738646375397005,0.98,100,0.024713529906678217
all_available,touch_scroll_event_count,0.02465340037087298,0.03410731228450282,0.0065358955857503995,1.0,100,0.02465340037087298
all_available,keyboard_long_pause_count_2s,0.022948219111007286,0.03874760075055384,0.00463169144022435,1.0,100,0.022948219111007286
all_available,median_unlocked_session_duration_seconds,0.022416904519407067,0.05690661393410831,0.00574944248599525,0.91,100,0.022416904519407067
all_available,incoming_call_count,-0.021797255578197908,0.05359877294771364,-0.00166296681729345,0.28,100,0.021797255578197908
all_available,touch_app_diversity,-0.020507110612658256,0.06849463528256891,-0.0004537138624434,0.46,100,0.020507110612658256
all_available,screen_off_event_count,0.018872380558549433,0.03210145574733556,0.0036519076372983498,0.86,100,0.018872380558549433
all_available,touch_scroll_direction_change_count,0.01870119942722305,0.02721583801187597,0.0052037990922212,0.99,100,0.01870119942722305
all_available,keyboard_median_word_completion_time_ms,-0.01722938150233221,0.09896570796311677,0.0014455038663408,0.66,100,0.01722938150233221
all_available,touch_active_hour_count,0.01606222010953714,0.028541136681709153,0.0049703357922043,0.92,100,0.01606222010953714
all_available,screen_active_hour_count,-0.01491293065421542,0.03929643691544193,-0.0028555592588932997,0.25,100,0.01491293065421542
all_available,gsm_neighbor_cell_transition_count,0.014487227221405906,0.05838449150875329,0.00146205485376145,0.77,100,0.014487227221405906
all_available,missed_rejected_blocked_call_count,0.014371097355202637,0.06217273120430487,0.00131316243798065,0.72,100,0.014371097355202637
all_available,unique_gsm_cell_count,0.013399714299338457,0.04897110519637829,0.0028537243095741,0.83,100,0.013399714299338457
all_available,keyboard_median_inter_event_interval_ms,-0.012883743683224685,0.051557320477883715,-0.00277485407267085,0.19,100,0.012883743683224685
all_available,missingindicator_bluetooth_address_diversity_ratio,-0.012557042894101665,0.02863982367798814,-0.0018115764110092501,0.0,100,0.012557042894101665
all_available,missingindicator_location_distinct_observation_count,-0.012557042894101665,0.02863982367798814,-0.0018115764110092501,0.0,100,0.012557042894101665
all_available,missingindicator_location_total_distance_km,-0.012557042894101665,0.02863982367798814,-0.0018115764110092501,0.0,100,0.012557042894101665
all_available,missingindicator_unique_bluetooth_addresses,-0.012557042894101665,0.02863982367798814,-0.0018115764110092501,0.0,100,0.012557042894101665
all_available,total_call_duration_seconds,-0.012242278890817249,0.02838675638363187,-0.00260556568016905,0.06,100,0.012242278890817249
all_available,keyboard_typing_burst_count,0.012085362348973944,0.027793010306967632,0.0048536836186352,0.97,100,0.012085362348973944
all_available,missingindicator_touch_scroll_direction_change_count,0.011812450657410297,0.05113291653198682,0.00104505692627455,0.56,100,0.011812450657410297
all_available,missingindicator_touch_scroll_index_change_median,0.011812450657410297,0.05113291653198682,0.00104505692627455,0.56,100,0.011812450657410297
all_available,screen_transition_count,-0.010497250641624519,0.04164608614599644,-0.00134071583791315,0.38,100,0.010497250641624519
all_available,gsm_cell_transition_count,-0.010219821592213185,0.031413066716453594,-0.00173230595761215,0.35,100,0.010219821592213185
all_available,touch_unique_app_count,0.010063342853680239,0.024103946677969647,0.00503115860229615,0.88,100,0.010063342853680239
all_available,activity_still_fraction,-0.00826703820680795,0.053246629618204575,0.0001361122424213,0.51,100,0.00826703820680795
all_available,activity_transition_count,0.007546997676414044,0.038676601891895215,-0.00021682974044675,0.47,100,0.007546997676414044
all_available,unique_gsm_lac_count,-0.006650648513897315,0.03714307277247553,-0.0001940630019539,0.46,100,0.006650648513897315
all_available,missingindicator_keyboard_median_word_completion_time_ms,-0.006646903020597731,0.0483681135243304,-0.00408765539058545,0.16,100,0.006646903020597731
all_available,missingindicator_app_foreground_event_count,-0.00463137301392859,0.044093790372084475,0.00033012360556805,0.54,100,0.00463137301392859
all_available,missingindicator_app_use_diversity,-0.00463137301392859,0.044093790372084475,0.00033012360556805,0.54,100,0.00463137301392859
all_available,missingindicator_unique_foreground_apps,-0.00463137301392859,0.044093790372084475,0.00033012360556805,0.54,100,0.00463137301392859
all_available,activity_unknown_fraction,0.0032863456273516086,0.051778075748327435,-0.0011396409293042,0.36,100,0.0032863456273516086
all_available,missingindicator_call_event_count,-0.002784324733653663,0.016815428594682238,-0.00074993556667645,0.44,100,0.002784324733653663
all_available,missingindicator_incoming_call_count,-0.002784324733653663,0.016815428594682238,-0.00074993556667645,0.44,100,0.002784324733653663
all_available,missingindicator_missed_rejected_blocked_call_count,-0.002784324733653663,0.016815428594682238,-0.00074993556667645,0.44,100,0.002784324733653663
all_available,missingindicator_outgoing_call_count,-0.002784324733653663,0.016815428594682238,-0.00074993556667645,0.44,100,0.002784324733653663
all_available,missingindicator_total_call_duration_seconds,-0.002784324733653663,0.016815428594682238,-0.00074993556667645,0.44,100,0.002784324733653663
all_available,activity_state_diversity,0.0025590084917394068,0.04093412905551134,0.00024799296616412195,0.51,100,0.0025590084917394068
all_available,activity_active_hour_count,0.0011455296787529121,0.04859050969340995,0.0018193101988621,0.7,100,0.0011455296787529121
all_available,barometer_downward_transition_count,0.0,0.0,0.0,0.0,100,0.0
all_available,barometer_estimated_elevation_change_m,0.0,0.0,0.0,0.0,100,0.0
all_available,barometer_large_vertical_shift_count,0.0,0.0,0.0,0.0,100,0.0
all_available,barometer_pressure_range,0.0,0.0,0.0,0.0,100,0.0
all_available,barometer_pressure_sd,0.0,0.0,0.0,0.0,100,0.0
