analysis_scope,repeat,feature_scope,model,n_predictions,rmse,mae,r2
repeat,15,primary_37,ridge,81,8.766772224616496,6.923688014599026,-0.05612868377171365
repeat,15,t1_week_all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,t1_week_all_available,ridge,81,8.813974195848383,6.983228641010996,-0.06753209635378465
repeat,15,primary_plus_adjusted,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,primary_plus_adjusted,ridge,81,8.766772224616496,6.923688014599026,-0.05612868377171365
repeat,15,all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,all_available,ridge,81,8.813974195848383,6.983228641010996,-0.06753209635378465
repeat,16,primary_37,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_37,ridge,81,8.62783588060945,6.971009208264287,-0.02291875782341135
repeat,16,t1_week_all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,t1_week_all_available,ridge,81,8.638943051114826,7.009219187185251,-0.02555419191374253
repeat,16,primary_plus_adjusted,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_plus_adjusted,ridge,81,8.62783588060945,6.971009208264287,-0.02291875782341135
repeat,16,all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,all_available,ridge,81,8.638943051114826,7.009219187185251,-0.02555419191374253
repeat,17,primary_37,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_37,ridge,81,8.870340381773337,7.12651191529132,-0.08122968981922862
repeat,17,t1_week_all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,t1_week_all_available,ridge,81,9.05227665158228,7.283701573745409,-0.12603795224244219
repeat,17,primary_plus_adjusted,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_plus_adjusted,ridge,81,8.870340381773337,7.12651191529132,-0.08122968981922862
repeat,17,all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,all_available,ridge,81,9.052276651582279,7.283701573745409,-0.12603795224244196
repeat,18,primary_37,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,primary_37,ridge,81,9.110880941994361,7.268489542612779,-0.140665049695478
repeat,18,t1_week_all_available,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,t1_week_all_available,ridge,81,9.110839481036816,7.2957791865359,-0.14065466805227778
repeat,18,primary_plus_adjusted,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,primary_plus_adjusted,ridge,81,9.110880941994361,7.268489542612779,-0.140665049695478
repeat,18,all_available,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,all_available,ridge,81,9.110839481036816,7.2957791865359,-0.14065466805227778
repeat,19,primary_37,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,primary_37,ridge,81,8.679450978073655,6.968501665627557,-0.035194369330011854
repeat,19,t1_week_all_available,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,t1_week_all_available,ridge,81,9.086198740850872,7.418561946996525,-0.13449309149790545
repeat,19,primary_plus_adjusted,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,primary_plus_adjusted,ridge,81,8.679450978073655,6.968501665627557,-0.035194369330011854
repeat,19,all_available,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,all_available,ridge,81,9.086198740850872,7.418561946996525,-0.13449309149790545
repeat,20,primary_37,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,primary_37,ridge,81,8.691373276956956,6.830376595749939,-0.03804025745474782
repeat,20,t1_week_all_available,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,t1_week_all_available,ridge,81,8.698972001582943,6.84605156379894,-0.03985613393241283
repeat,20,primary_plus_adjusted,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,primary_plus_adjusted,ridge,81,8.691373276956956,6.830376595749939,-0.03804025745474782
repeat,20,all_available,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,all_available,ridge,81,8.698972001582943,6.84605156379894,-0.03985613393241283
pooled,pooled,primary_37,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,primary_37,ridge,1620,8.660867847247477,6.8609684566054945,-0.030766310781082495
pooled,pooled,t1_week_all_available,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,t1_week_all_available,ridge,1620,8.712058429856489,6.897700966042972,-0.04298713341371996
pooled,pooled,primary_plus_adjusted,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,primary_plus_adjusted,ridge,1620,8.660867847247477,6.8609684566054945,-0.030766310781082495
pooled,pooled,all_available,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,all_available,ridge,1620,8.712058429856489,6.897700966042972,-0.04298713341371996
