analysis_scope,repeat,outcome,model,n_predictions,rmse,mae,r2
repeat,12,Memory,t1_primary_10pct_delta_ridge,61,10.922170343579547,7.986128139065345,-0.043506318760242024
repeat,13,Memory,mean_baseline,61,10.924697922477083,8.004191061670568,-0.04398934542151012
repeat,13,Memory,t1_primary_10pct_delta_ridge,61,10.948069064607296,8.02041172614629,-0.048460923877090556
repeat,14,Memory,mean_baseline,61,10.783283936040105,8.016249163599865,-0.01713658066890078
repeat,14,Memory,t1_primary_10pct_delta_ridge,61,10.80224309085099,8.0354596184433,-0.020716381146389073
repeat,15,Memory,mean_baseline,61,11.190679092292838,8.397915272666442,-0.09544373510837478
repeat,15,Memory,t1_primary_10pct_delta_ridge,61,11.21092571385085,8.410503408941832,-0.09941116159885
repeat,16,Memory,mean_baseline,61,10.743882877669552,7.9111917307906765,-0.009717126507827967
repeat,16,Memory,t1_primary_10pct_delta_ridge,61,10.7655087593434,7.9283433543726005,-0.013786046418495124
repeat,17,Memory,mean_baseline,61,10.78935932123344,7.999694713951153,-0.01828302869835463
repeat,17,Memory,t1_primary_10pct_delta_ridge,61,10.812385098372323,8.043744661501153,-0.02263394082773873
repeat,18,Memory,mean_baseline,61,10.922002074286041,8.049937269989961,-0.04347416604463472
repeat,18,Memory,t1_primary_10pct_delta_ridge,61,10.939682099851524,8.060454770937218,-0.04685515456896572
repeat,19,Memory,mean_baseline,61,10.914257876412652,8.08436071149771,-0.04199494904582113
repeat,19,Memory,t1_primary_10pct_delta_ridge,61,10.986164866767085,8.15747442522522,-0.055770240681305205
repeat,20,Memory,mean_baseline,61,10.772208146250374,7.99037582246013,-0.015048199164376497
repeat,20,Memory,t1_primary_10pct_delta_ridge,61,10.79723278669455,8.017171615224017,-0.019769741921305428
repeat,1,Memory,mean_baseline,61,10.760036061075434,7.997891574662652,-0.01275558235940566
repeat,1,Memory,working_10pct_delta_ridge,61,10.853333099345894,8.079529819799644,-0.03039432081572624
repeat,2,Memory,mean_baseline,61,10.745455433062896,7.93169538307126,-0.010012727704328483
repeat,2,Memory,working_10pct_delta_ridge,61,10.780862293557991,7.963937870587441,-0.016679787619576114
repeat,3,Memory,mean_baseline,61,10.84711683605549,8.06551731348277,-0.02921433895435044
repeat,3,Memory,working_10pct_delta_ridge,61,10.90952586254468,8.102773308765526,-0.04109160486721497
repeat,4,Memory,mean_baseline,61,10.877675610509208,7.988224183115869,-0.035021565399801835
repeat,4,Memory,working_10pct_delta_ridge,61,10.907189096696118,8.011128855630671,-0.04064565940767961
repeat,5,Memory,mean_baseline,61,11.068405959148278,8.148076279692203,-0.07163613924385825
repeat,5,Memory,working_10pct_delta_ridge,61,11.188133272324743,8.265171077902748,-0.09494537655606639
repeat,6,Memory,mean_baseline,61,10.899214196493407,8.05633364001338,-0.03912445880471793
repeat,6,Memory,working_10pct_delta_ridge,61,10.923841522799703,8.066875001451445,-0.04382567277787697
repeat,7,Memory,mean_baseline,61,10.948391459121641,7.976164687186349,-0.04852267413191291
repeat,7,Memory,working_10pct_delta_ridge,61,11.120122879686244,8.120788172685163,-0.08167393506436471
repeat,8,Memory,mean_baseline,61,10.83604127595997,7.9108627467380375,-0.027113632225092887
repeat,8,Memory,working_10pct_delta_ridge,61,10.855075098733385,7.92367415907941,-0.030725111422999385
repeat,9,Memory,mean_baseline,61,10.70722779683336,7.918087152893943,-0.002839142570508546
repeat,9,Memory,working_10pct_delta_ridge,61,10.718881583714282,7.928176782689949,-0.005023318322399772
repeat,10,Memory,mean_baseline,61,10.75590469728867,7.9362077617932405,-0.011978027624554466
repeat,10,Memory,working_10pct_delta_ridge,61,10.770326104639553,7.95359838030496,-0.014693546517575262
repeat,11,Memory,mean_baseline,61,10.916800942522803,8.090225967436153,-0.04248058366910912
repeat,11,Memory,working_10pct_delta_ridge,61,11.19029904954174,8.310744414815586,-0.09536933240624035
repeat,12,Memory,mean_baseline,61,10.905997983665618,7.9646035463365665,-0.04041838565030975
repeat,12,Memory,working_10pct_delta_ridge,61,10.922285957408757,7.98863857874038,-0.04352841041346567
repeat,13,Memory,mean_baseline,61,10.924697922477083,8.004191061670568,-0.04398934542151012
repeat,13,Memory,working_10pct_delta_ridge,61,10.953484445369146,8.01991899726951,-0.049498407168009795
repeat,14,Memory,mean_baseline,61,10.783283936040105,8.016249163599865,-0.01713658066890078
repeat,14,Memory,working_10pct_delta_ridge,61,10.803459006869804,8.03414948218657,-0.020946180686793214
repeat,15,Memory,mean_baseline,61,11.190679092292838,8.397915272666442,-0.09544373510837478
