analysis_scope,repeat,feature_scope,model,n_predictions,rmse,mae,r2
repeat,15,primary_37,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,primary_37,ridge,81,8.875752855184796,7.049413266952996,-0.0825495743131941
repeat,15,t1_week_all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,t1_week_all_available,ridge,81,8.847985599451954,7.04436465415189,-0.07578678769490499
repeat,15,primary_plus_adjusted,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,primary_plus_adjusted,ridge,81,8.75687206761906,6.868354984926333,-0.05374469666313919
repeat,15,all_available,mean_baseline,81,8.5848165594982,6.815757359924027,-0.012743422175798491
repeat,15,all_available,ridge,81,8.680836398531106,6.871693368851822,-0.03552487270464488
repeat,16,primary_37,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_37,ridge,81,8.760633684841409,7.0040190010476895,-0.054650187919226045
repeat,16,t1_week_all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,t1_week_all_available,ridge,81,8.819171181290828,7.098836904258451,-0.0687913658410495
repeat,16,primary_plus_adjusted,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,primary_plus_adjusted,ridge,81,8.689932078894712,6.97167793138857,-0.037696031628695836
repeat,16,all_available,mean_baseline,81,8.661779870287209,6.9447981956315274,-0.030983409607151735
repeat,16,all_available,ridge,81,8.77435277546201,7.083376938383609,-0.05795592379951331
repeat,17,primary_37,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_37,ridge,81,8.879448459910803,6.94194781525092,-0.08345124615344068
repeat,17,t1_week_all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,t1_week_all_available,ridge,81,8.794943353368682,6.917527051716165,-0.06292711298075782
repeat,17,primary_plus_adjusted,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,primary_plus_adjusted,ridge,81,8.85592827190419,6.929788901787897,-0.07771908226327784
repeat,17,all_available,mean_baseline,81,8.557065536112521,6.8272251899335235,-0.006206476151960905
repeat,17,all_available,ridge,81,8.75147955308571,6.88720283731393,-0.05244729641652035
repeat,18,primary_37,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,primary_37,ridge,81,8.826624980833284,7.048928627571786,-0.07059877450171048
repeat,18,t1_week_all_available,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,t1_week_all_available,ridge,81,8.68072008235562,6.9831090377530005,-0.035497122501708
repeat,18,primary_plus_adjusted,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,primary_plus_adjusted,ridge,81,8.714331886263315,6.995402046297717,-0.04353155014056953
repeat,18,all_available,mean_baseline,81,8.557616137935021,6.829725783475783,-0.0063359684274002515
repeat,18,all_available,ridge,81,8.634893759816421,6.938144295975409,-0.024593010809265348
repeat,19,primary_37,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,primary_37,ridge,81,8.753466155358081,6.8504176370914935,-0.05292516566937766
repeat,19,t1_week_all_available,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,t1_week_all_available,ridge,81,8.815726239928868,6.905043847638861,-0.0679565471507193
repeat,19,primary_plus_adjusted,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,primary_plus_adjusted,ridge,81,8.736811060396786,6.860239518174586,-0.04892220615113341
repeat,19,all_available,mean_baseline,81,8.557515398193889,6.8107104700854695,-0.006312275514184673
repeat,19,all_available,ridge,81,8.7032505662758,6.902907807582749,-0.04087928606488478
repeat,20,primary_37,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,primary_37,ridge,81,8.604235776516632,6.823971238666748,-0.017330340858872972
repeat,20,t1_week_all_available,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,t1_week_all_available,ridge,81,8.914811416127693,7.018868172240129,-0.09209825461951504
repeat,20,primary_plus_adjusted,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,primary_plus_adjusted,ridge,81,8.616771627249584,6.853072204764242,-0.020296877778347655
repeat,20,all_available,mean_baseline,81,8.580634423290483,6.83883636039886,-0.011756936500767923
repeat,20,all_available,ridge,81,8.712710840064448,6.916585579536968,-0.043143349292284805
pooled,pooled,primary_37,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,primary_37,ridge,1620,8.724549391248775,6.915739854666826,-0.04598005444176856
pooled,pooled,t1_week_all_available,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,t1_week_all_available,ridge,1620,9.506006967984387,7.083585926369795,-0.24174851280689258
pooled,pooled,primary_plus_adjusted,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,primary_plus_adjusted,ridge,1620,8.624932449649133,6.850080773871076,-0.02223041040789231
pooled,pooled,all_available,mean_baseline,1620,8.532025672921703,6.796633621201329,-0.0003263274180034248
pooled,pooled,all_available,ridge,1620,9.04784301380124,6.950724011730539,-0.12493519721261648
