feature_scope,source_table,feature_name,feature_family,window_class,missing_percent,primary_model_recommendation
all_available,touch,touch_app_diversity,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
all_available,touch,touch_click_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
all_available,touch,touch_distinct_event_count,touch_interaction_volume,t1_week_first_valid_24h,24.7,include_primary
all_available,touch,touch_scroll_direction_change_count,touch_interaction_variability,t1_week_first_valid_24h,29.6,include_primary
all_available,touch,touch_scroll_event_count,touch_action_profile,t1_week_first_valid_24h,24.7,include_primary
all_available,touch,touch_scroll_index_change_median,touch_scroll_intensity,t1_week_first_valid_24h,29.6,include_primary
all_available,touch,touch_unique_app_count,touch_app_context,t1_week_first_valid_24h,24.7,include_primary
all_available,barometer,barometer_downward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,barometer,barometer_estimated_elevation_change_m,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,barometer,barometer_large_vertical_shift_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,barometer,barometer_pressure_range,barometer_vertical_context,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,barometer,barometer_pressure_sd,barometer_vertical_context,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,barometer,barometer_upward_transition_count,barometer_vertical_transition,adjusted_first_available_7d,98.8,adjusted_sensitivity
all_available,sensor_linear_accelerometer,sensor_linear_accelerometer_active_hour_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,61.7,adjusted_sensitivity
all_available,sensor_linear_accelerometer,sensor_linear_accelerometer_event_count,sensor_linear_accelerometer_metadata_coverage,adjusted_first_available_7d,61.7,adjusted_sensitivity
all_available,sensor_linear_accelerometer,sensor_linear_accelerometer_maximum_range,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
all_available,sensor_linear_accelerometer,sensor_linear_accelerometer_power_ma,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
all_available,sensor_linear_accelerometer,sensor_linear_accelerometer_resolution,sensor_hardware_context,adjusted_first_available_7d,61.7,adjusted_sensitivity
all_available,significant,significant_active_hour_count,significant_temporal_spread,adjusted_first_available_7d,40.7,adjusted_sensitivity
all_available,significant,significant_motion_transition_count,significant_motion_variability,adjusted_first_available_7d,40.7,adjusted_sensitivity
all_available,significant,significant_moving_event_count,significant_motion_context,adjusted_first_available_7d,40.7,adjusted_sensitivity
all_available,significant,significant_moving_fraction,significant_motion_context,adjusted_first_available_7d,40.7,adjusted_sensitivity
